ชื่อ - สกุล,ปี จัดแข่งขัน,รายการ,ประเภท,ตำแหน่ง,สังกัด
Earl Stovall,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทชายเดี่ยวอายุ 70 ปี ขึ้นไป ,ตำแหน่งที่ 3,Chiang Mai
FATHIMATH DHEEMA ALI,2565,All Thailand 2022 Circuit 2,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
FATHIMATH DHEEMA ALI,2565,All Thailand 2022 Circuit 2,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
FATHIMATH DHEEMA ALI,2565,All Thailand 2022 Circuit 2,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
FATHIMATH DHEEMA ALI,2565,All Thailand 2022 Circuit 2,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
FATHMATH DHEEMA ALI,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  17 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
FATHMATH DHEEMA ALI,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  15 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
FATHMATH DHEEMA ALI,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนหญิงอายุไม่เกิน  19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
FATHMATH DHEEMA ALI,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนหญิงอายุไม่เกิน  17 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
FATHMATH DHEEMA ALI,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนหญิงอายุไม่เกิน 15 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
Fung Sammy,2566,Master Table Tennis 2023 Circuit 1,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,เชียงใหม่
GEK HUA LIM,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมหญิงอายุ 50 – 59 ปี,ชนะเลิศ,SG 50
GOH YONG KOOM,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,Singapore Safra
GOH YONG KOOM,2565,Master Table Tennis 2022 Circuit 2,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,ITTI Thailand
Hadiyudo Prayitno,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ชนะเลิศ,มหาวิทยาลัยธนบุรี A
HO YING,2566,All Thailand 2023 Circuit 3,ประเภทหญิงคู่,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
HO YING,2566,All Thailand 2023 Circuit 3,ประเภทหญิงเดี่ยวทั่วไป,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
Huang Yulong,2568,All Thailand 2025 Circuit 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,โรงเรียนฮั่วเคี้ยววิทยาลัย จ.ขอนแก่น
IAN OWEN,2568,All Thailand 2025 Circuit 1,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองลำพูน
IAN OWEN,2568,CHIANG RAI OPEN 2025,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสลำพูน
JAYDEN NGOW YU XUAN -,2566,Chonburi PAO Table Tennis Open 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,Pin Academy
Jayden tan kai yang,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนชายอายุไม่เกิน  17 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ B
๋JIA JUN,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
๋JIA JUN,2566,BUTTERFLY & SISB OPEN 2023,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
๋JIA JUN,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
Jopie Warsono,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ชนะเลิศ,มหาวิทยาลัยธนบุรี A
KAREN LYNE ANAK DICK,2566,All Thailand 2023 Circuit 3,ประเภทหญิงคู่,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
Karen Lyne anak dick,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมหญิงทั่วไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ B
KEITA KODERA,2567,Master Table Tennis 2024 Circuit 2,ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,Pin Academy
Kirill Vorobev,2568,BUTTERFLY & SISB OPEN 2025,ประเภทชายเดี่ยวทั่วไป,ชนะเลิศ,ATT Pattaya club
Kirill Vorobev,2566,Chonburi PAO Table Tennis Open 2023,ประเภทชายเดี่ยวทั่วไป,ตำแหน่งที่ 3,ATT Pattaya table tennis club
KOK CHUEEN MOEY,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 65 – 69 ปี,ตำแหน่งที่ 3,COPYTRON A
KWEE HOE TAN,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 70 ปี,ตำแหน่งที่ 3,COPYTRON B
KYI MYINT,2568,BUTTERFLY & SISB OPEN 2025,ประเภทชายเดี่ยวอายุ 40 ปีขึ้นไป,รองชนะเลิศ,ITC GLOBAL
KYI MYINT,2567,BUTTERFLY & SISB OPEN 2024,ประเภทชายเดี่ยวอายุ 40 ปีขึ้นไป,รองชนะเลิศ,ITC GLOBAL
KYI MYINT,2567,BUTTERFLY & SISB OPEN 2024,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ชนะเลิศ,ITC GLOBAL
KYI MYINT,2566,All Thailand 2023 Circuit 1,ประเภทชายเดี่ยวทั่วไป,รองชนะเลิศ,ชมรมเทเบิลเทนนิสนครเชียงใหม่
KYI MYINT,2566,Master Table Tennis 2023 Circuit 1,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,ชมรมเทเบิลเทนนิสนครเชียงใหม่
KYI MYINT,2566,Master Table Tennis 2023 Circuit 1,ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,รองชนะเลิศ,ชมรมเทเบิลเทนนิสนครเชียงใหม่
LAI YONG HAN,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ชนะเลิศ,มหาวิทยาลัยธนบุรี
LAI YONG HAN,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 19 ปี ,ชนะเลิศ,มหาวิทยาลัยธนบุรี
Lai Yong han,2566,Chonburi PAO Table Tennis Open 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ชนะเลิศ,Pin Academy
Lai Yong han,2566,Chonburi PAO Table Tennis Open 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 19 ปี ,ตำแหน่งที่ 3,Pin Academy
Lai Yong han,2565,BBG PRINCESS CUP 2022,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,Pin Pingpong Bearing 30
Lai Yong han,2565,BBG PRINCESS CUP 2022,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ชนะเลิศ,Pin Pingpong Bearing 30
Lai Yong Ren,2565,BBG PRINCESS CUP 2022,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,Pin Pingpong Bearing 30
Lee Chung Keet,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,Singapore Sunsport
Lee Yew Chye,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,Singapore Safra
Leonard Piyachai,2568,All Thailand 2025 Circuit 3,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู
Leonard Piyachai,2568,All Thailand 2025 Circuit 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู
Leonard Piyachai,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนชายอายุไม่เกิน   15 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู A
Leonard Piyachai,2567,All Thailand2024 Circuit 1,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู
Leonard Piyachai,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนชายอายุไม่เกิน   13 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู Banpu A
Leonard Piyachai,2566,All Thailand 2023 Circuit 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,-
LIAN YU ZHENG,2566,Hope And Kid 2023 Circuit 3,ประเภทยุวชนชายเดี่ยวอายุไม่เกิน 9 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
LIANG FATT FOO,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,SAFRA
Lim Hee Peng,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 65 – 69 ปี,ชนะเลิศ,Malaysia Gema Marketing
Lim Hong Guan,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 65 – 69 ปี,ชนะเลิศ,Malaysia Gema Marketing
LIN ZI-XUAN,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ชนะเลิศ,มหาวิทยาลัยธนบุรี
LIN ZI-XUAN,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
LO YUN-CHENG,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ชนะเลิศ,มหาวิทยาลัยธนบุรี
LO YUN-CHENG,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ชนะเลิศ,มหาวิทยาลัยธนบุรี
LU SHIH-YUAN,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
LU SHIH-YUAN,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายคู่อายุไม่เกิน 12-15 ปี,ชนะเลิศ,มหาวิทยาลัยธนบุรี
LUM YEN KONG,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,Singapore Safra
MAY YANG LIM,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,SAFRA
Momon Afrimon,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ชนะเลิศ,มหาวิทยาลัยธนบุรี A
Muhammad Khairul Amsyar Khairunnaim,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 9 ปี ,ตำแหน่งที่ 3,Sarang Table Tennis Academy
Muhammad Khairul Amsyar Khairunnaim,2567,ฮั่วเคี้ยวขอนแก่น แชมป์เปี้ยนชิพ ครั้งที่ 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 9 ปี ,รองชนะเลิศ,Sarang Table Tennis Academy
MUI HENG LIANG,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมหญิงอายุ 50 – 59 ปี,ชนะเลิศ,SG 50
Nat Melzer,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทหญิงเดี่ยวอายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,NCN TABLE TENNIS
Ng Kain Chye,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,Singapore Sunsport
NGOR PENG TAN,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมหญิงอายุ 50 – 59 ปี,ชนะเลิศ,SG 50
Panita Kittiphan,2566,Hope And Kid 2023 Circuit 1,ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
Panita Kittiphan,2566,Hope And Kid 2023 Circuit 2,ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
Peter Sudjayaa,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ชนะเลิศ,มหาวิทยาลัยธนบุรี A
Phang Soo Yaw,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 65 – 69 ปี,ชนะเลิศ,Malaysia Gema Marketing
Phongsavanh Sengmany,2568,All Thailand 2025 Circuit 1,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
Phongsavanh Sengmany,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
Phongsavanh Sengmany,2567,Xuperman Loei Table Tennis Open 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,รองชนะเลิศ,WAGA SPORT
Phongsavanh Sengmany,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนชายอายุไม่เกิน   13 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
Phoumpanya PHATHIMYXAY,2567,Chonburi PAO Table Tennis Open 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 19 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
piotr swacha,2568,"Masters , Hopes & Kids 2025 Circuit 3",ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,PHUKET PING PONG
RUNGRAVEE SUCHADA WEST,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,ITC GLOBAL
RUNGRAVEE SUCHADA WEST,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,ITC GLOBAL
RUNGRAVEE SUCHADA WEST,2568,CHIANG RAI OPEN 2025,ประเภทหญิงเดี่ยวอายุ 40 ปีขึ้นไป,ชนะเลิศ,ITC GLOBAL
RUNGRAVEE SUCHADA WEST,2568,CHIANG RAI OPEN 2025,ประเภทหญิงเดี่ยวอายุ 50 ปีขึ้นไป,ชนะเลิศ,ITC GLOBAL
RUNGRAVEE SUCHADA WEST,2568,CHIANG RAI OPEN 2025,ประเภทหญิงคู่,รองชนะเลิศ,ITC GLOBAL
RUNGRAVEE SUCHADA WEST,2567,Master Table Tennis 2024 Circuit 1,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2567,Master Table Tennis 2024 Circuit 2,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2567,Master Table Tennis 2024 Circuit 3,ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,ชนะเลิศ,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2567,Master Table Tennis 2024 Circuit 3,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทอาวุโสหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,รองชนะเลิศ,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทอาวุโสหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2567,Chonburi PAO Table Tennis Open 2024,ประเภทหญิงเดี่ยวอายุ 40 ปีขึ้นไป,รองชนะเลิศ,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2567,BUTTERFLY & SISB OPEN 2024,ประเภทหญิงเดี่ยวอายุ 50 ปีขึ้นไป,ตำแหน่งที่ 3,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2566,Master Table Tennis 2023 Circuit 1,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2566,Master Table Tennis 2023 Circuit 1,ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2566,Master Table Tennis 2023 Circuit 2,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2566,Master Table Tennis 2023 Circuit 2,ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,รองชนะเลิศ,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2566,Master Table Tennis 2023 Circuit 3,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2566,Chonburi PAO Table Tennis Open 2023,ประเภทหญิงเดี่ยวอายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,ไทยรุ่ง
RUNGRAVEE SUCHADA WEST,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมหญิงอายุ 50 – 59 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W501
RUNGRAVEE SUCHADA WEST,2565,All Thailand 2022 Circuit 2,ประเภทอาวุโสหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2565,Master Table Tennis 2022 Circuit 1,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2565,Master Table Tennis 2022 Circuit 1,ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2565,Master Table Tennis 2021 Circuit 1,ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2565,Master Table Tennis 2022 Circuit 2,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,จังหวัดสมุทรสงคราม
RUNGRAVEE SUCHADA WEST,2565,Chonburi PAO Table Tennis Open 2022,ประเภทหญิงเดี่ยวอายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,จังหวัดสมุทรสงคราม
SENG YIP FONG,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 65 – 69 ปี,ตำแหน่งที่ 3,COPYTRON A
SER HOCK SOH,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 65 – 69 ปี,ตำแหน่งที่ 3,COPYTRON A
SHEN WEI-TSE,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 70 ปี ขึ้นไป,ตำแหน่งที่ 3,BIE 701
